##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d01 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +1.9800000e+00   +2.0100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0100000e+00   +2.0400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0400000e+00   +2.0700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0700000e+00   +2.1000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1000000e+00   +2.1300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1300000e+00   +2.1600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1600000e+00   +2.1900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1900000e+00   +2.2200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2200000e+00   +2.2500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2500000e+00   +2.2800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2800000e+00   +2.3100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3100000e+00   +2.3400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3400000e+00   +2.3700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3700000e+00   +2.4000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4000000e+00   +2.4300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4300000e+00   +2.4600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4600000e+00   +2.4900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4900000e+00   +2.5200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5200000e+00   +2.5500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5500000e+00   +2.5800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5800000e+00   +2.6100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6100000e+00   +2.6400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6400000e+00   +2.6700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6700000e+00   +2.7000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7000000e+00   +2.7300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7300000e+00   +2.7600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7600000e+00   +2.7900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7900000e+00   +2.8200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8200000e+00   +2.8500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8500000e+00   +2.8800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8800000e+00   +2.9100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9100000e+00   +2.9400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9400000e+00   +2.9700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9700000e+00   +3.0000000e+00   +0.0000000e+00   +0.0000000e+00
<\histogram>
##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d12 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +0.0000000e+00   +3.0000000e-02   +1.0898320e-11   +1.1617745e-12
  +3.0000000e-02   +6.0000000e-02   +9.5359700e-12   +1.0867333e-12
  +6.0000000e-02   +9.0000000e-02   +1.3251330e-11   +1.2810645e-12
  +9.0000000e-02   +1.2000000e-01   +1.2012870e-11   +1.2197320e-12
  +1.2000000e-01   +1.5000000e-01   +1.3498930e-11   +1.2929781e-12
  +1.5000000e-01   +1.8000000e-01   +1.1022120e-11   +1.1683490e-12
  +1.8000000e-01   +2.1000000e-01   +1.2508300e-11   +1.2446273e-12
  +2.1000000e-01   +2.4000000e-01   +9.9075600e-12   +1.1077080e-12
  +2.4000000e-01   +2.7000000e-01   +1.2756010e-11   +1.2568941e-12
  +2.7000000e-01   +3.0000000e-01   +1.1022190e-11   +1.1683560e-12
  +3.0000000e-01   +3.3000000e-01   +9.4121800e-12   +1.0796639e-12
  +3.3000000e-01   +3.6000000e-01   +1.1393720e-11   +1.1878856e-12
  +3.6000000e-01   +3.9000000e-01   +9.5360300e-12   +1.0867430e-12
  +3.9000000e-01   +4.2000000e-01   +8.9167900e-12   +1.0508624e-12
  +4.2000000e-01   +4.5000000e-01   +8.4214100e-12   +1.0212501e-12
  +4.5000000e-01   +4.8000000e-01   +8.7929700e-12   +1.0435439e-12
  +4.8000000e-01   +5.1000000e-01   +8.5452700e-12   +1.0287370e-12
  +5.1000000e-01   +5.4000000e-01   +9.2883300e-12   +1.0725284e-12
  +5.4000000e-01   +5.7000000e-01   +9.1644400e-12   +1.0653613e-12
  +5.7000000e-01   +6.0000000e-01   +9.2883300e-12   +1.0725295e-12
  +6.0000000e-01   +6.3000000e-01   +9.5360300e-12   +1.0867427e-12
  +6.3000000e-01   +6.6000000e-01   +8.2975800e-12   +1.0137189e-12
  +6.6000000e-01   +6.9000000e-01   +1.0774480e-11   +1.1551521e-12
  +6.9000000e-01   +7.2000000e-01   +1.0031420e-11   +1.1146080e-12
  +7.2000000e-01   +7.5000000e-01   +1.1641390e-11   +1.2007207e-12
  +7.5000000e-01   +7.8000000e-01   +1.4489630e-11   +1.3395858e-12
  +7.8000000e-01   +8.1000000e-01   +1.2012820e-11   +1.2197383e-12
  +8.1000000e-01   +8.4000000e-01   +1.3870520e-11   +1.3106572e-12
  +8.4000000e-01   +8.7000000e-01   +1.3994300e-11   +1.3164911e-12
  +8.7000000e-01   +9.0000000e-01   +1.4118230e-11   +1.3223003e-12
  +9.0000000e-01   +9.3000000e-01   +1.4242090e-11   +1.3280877e-12
  +9.3000000e-01   +9.6000000e-01   +1.3127450e-11   +1.2750601e-12
  +9.6000000e-01   +9.9000000e-01   +1.2632060e-11   +1.2507762e-12
  +9.9000000e-01   +1.0200000e+00   +1.4118330e-11   +1.3223004e-12
  +1.0200000e+00   +1.0500000e+00   +1.3746650e-11   +1.3047917e-12
  +1.0500000e+00   +1.0800000e+00   +1.2879830e-11   +1.2629728e-12
  +1.0800000e+00   +1.1100000e+00   +1.3746650e-11   +1.3047863e-12
  +1.1100000e+00   +1.1400000e+00   +1.2632150e-11   +1.2507731e-12
  +1.1400000e+00   +1.1700000e+00   +1.6471200e-11   +1.4282531e-12
  +1.1700000e+00   +1.2000000e+00   +1.2632160e-11   +1.2507724e-12
  +1.2000000e+00   +1.2300000e+00   +1.1517570e-11   +1.1943242e-12
  +1.2300000e+00   +1.2600000e+00   +1.1641340e-11   +1.2007266e-12
  +1.2600000e+00   +1.2900000e+00   +1.1269760e-11   +1.1814125e-12
  +1.2900000e+00   +1.3200000e+00   +1.3251300e-11   +1.2810653e-12
  +1.3200000e+00   +1.3500000e+00   +8.5452700e-12   +1.0287427e-12
  +1.3500000e+00   +1.3800000e+00   +8.1737200e-12   +1.0061232e-12
  +1.3800000e+00   +1.4100000e+00   +9.2883400e-12   +1.0725316e-12
  +1.4100000e+00   +1.4400000e+00   +7.0591400e-12   +9.3501133e-13
  +1.4400000e+00   +1.4700000e+00   +6.1922000e-12   +8.7572208e-13
  +1.4700000e+00   +1.5000000e+00   +5.5729700e-12   +8.3078053e-13
  +1.5000000e+00   +1.5300000e+00   +5.8206700e-12   +8.4903902e-13
  +1.5300000e+00   +1.5600000e+00   +5.2014500e-12   +8.0260796e-13
  +1.5600000e+00   +1.5900000e+00   +5.2014400e-12   +8.0260833e-13
  +1.5900000e+00   +1.6200000e+00   +4.4583800e-12   +7.4306515e-13
  +1.6200000e+00   +1.6500000e+00   +2.9722500e-12   +6.0670635e-13
  +1.6500000e+00   +1.6800000e+00   +2.8484000e-12   +5.9393017e-13
  +1.6800000e+00   +1.7100000e+00   +1.9814800e-12   +4.9536536e-13
  +1.7100000e+00   +1.7400000e+00   +1.6099500e-12   +4.4652061e-13
  +1.7400000e+00   +1.7700000e+00   +1.8576300e-12   +4.7963876e-13
  +1.7700000e+00   +1.8000000e+00   +6.1920000e-13   +2.7691466e-13
